年份,地区,地区生产总值(万元),第一产业增加值(万元),第二产业增加值(万元),第三产业增加值(万元),第一产业增加值占GDP比重(%),第二产业增加值占GDP比重(%),第三产业增加值占GDP比重(%),人均地区生产总值(元),户籍人口(万人),非农业人口数(万人),年平均人口(万人),自然增长率(‰),第一产业从业人员数(万人),第二产业从业人员数(万人),第三产业从业人员数(万人),教育业从业人员数(万人),在岗职工平均人数(万人),在岗职工工资总额(万元),职工平均工资(元),地区生产总值增长率(%),规模以上工业企业数(个),规模以上工业总产值(当年价，万元),产品销售收入(万元),利税总额(万元),流动资产合计(万元),固定资产投资总额(万元),当年实际使用外资金额(万美元),地方财政一般预算内收入(万元),地方财政一般预算内支出(万元),科学支出(万元),教育支出(万元),年末金融机构各项贷款余额(万元),年末金融机构存款余额(万元),城乡居民储蓄年末余额(万元),普通高等学校在校学生数(人),专利授权数(件),发明专利授权数(件),货运总量(万吨),人口密度(人／平方公里)
2022,上海,446530000,982366,114579598,330968036,0.22,25.66,74.12,179900,1504,,,,,,,,636,138344329,,-0.2,9432,,,,335766700,,,76081900,93931600,3862500,11225700,964925800,1806276500,,,178300,36800,,
2021,上海,432150000,993945,114476535,316679520,0.23,26.49,73.28,173600,1493,,,,,,,,634,124221448,196053,8.1,9309,,,,316837627,,,77718002,84308562,4227023,10394696,882601300,1638195000,,,179317,32860,,
2020,上海,387010000,1044927,102905959,283097815,0.27,26.59,73.15,155800,,,,,,,,,606,105923423,174678,1.7,8804,,,,290652304,,,70462987,81021120,4061978,10005937,779910285,1453276519,,,139780,24208,,
2019,上海,381560000,1030212,102983044,277508588,0.27,26.99,72.73,157279,1469,,1466,-2.3,7.63,179.457,528.971,40.052,596,95558639,160256,6,8776,,,,262921233,,1904791,71650984,81792842,3895424,9956956,738236600,1233300600,317277300,,100587,22735,,
2018,上海,326798700,1045755.84,97320652.86,228432291.3,0.32,29.78,69.9,134982,1462,,1459,-1.87,3.1,196.259,441.308,31.876,592,84707990,142983,6.6,8145,,,,255868131,,1730009,71081480,83515363,4263655,9179869,675679400,1126162300,270717400,,92460,21331,,
2017,上海,306329900,1102787.64,93308087.54,211919024.8,0.36,30.46,69.18,126634,1455,,1453,-2.8,2.765,207.535,422.009,30.801,592,77425598,130765,6.9,8122,,,,249555896,,1700823,66422638,75476205,3898971,8741040,611888700,1050988000,243384800,,72806,20681,,
2016,上海,281786500,1098967.35,84056912.95,196630619.7,0.39,29.83,69.78,116562,1450,,1446,0.49,2.48,218.4,406.897,29.684,592,71314653,120503,6.9,8351,311360286,,,234148176,67516768,1851378,64061300,69189405,3417109,8409686,539850966,1031639421,236398015,514683,,,,
2015,上海,251234500,1105431.8,79917694.45,170236497.2,0.44,31.81,67.76,103796,1442.97,,1440.8,-1.27,5.845,245.713,471.325,34.112,682,68853038,100966,6.9,8994,313226240,,,213744406,63493886,1845923,55194964,61915601,2718505,7673169,533872070,1037605977,233847295,511623,,,,2276
2014,上海,235677000,1249088.1,81685648.2,152765831.4,0.53,34.66,64.82,97370,1438.7,,1435.5,0.3,5.56,257.27,467.63,34.88,671,61884219,92189.76,7,9253,322371864,,,205398154,60129660,1816593,45855536,49234377,2622913,6955284,479158100,738824500,219955400,506644,,,90128,2269
2013,上海,216021200,1296127.2,80273477.92,134451594.9,0.6,37.16,62.24,90092,1432.3,,1429.6,-0.6,1.34,254.21,363.41,29.5,585,53500158,91475.15,7.04,9782,320888779,,,196981952,56441312,1677958,41095087,45286106,2576603,6795414,443578800,692563200,211856900,504771,,,91352,2259
2012,上海,201817200,1271448.36,78547254.24,121998497.4,0.63,38.92,60.45,85373,1426.9,,1423.2,0.3,1.23,273.47,281.03,27.99,515,41268634,80190.88,7.5,9772,318968777,,,181445502,52513998,1518453,37437053,41840170,2454279,6489517,364859000,598927500,195067000,506596,,,94190,2251
2011,上海,191956900,1247719.85,79278199.7,111430980.5,0.65,41.3,58.05,82560,1419.4,,1415.8,-0.7,1.4,229.74,266.18,27.73,449,34601678,77031.27,8.2,9962,324451453,,,172653520,50642624,1260055,34298318,39148820,2184975,5492393,371967900,581864800,179582200,511283,,,93135,2239
2010,上海,171659800,1132954.68,72182945.9,98326733.44,0.66,42.05,57.28,76074,1412.32,,1406.5,-0.6,1.54,158.16,233.17,26.14,321,23100023,71875.36,10.34,16684,301144067,,,157282514,53176663,1112143,28735840,33028860,2020326,4172775,341541700,521900400,162492900,515661,,,80835,2228
2009,上海,150464500,1143530.2,60020289.05,89315727.2,0.76,39.89,59.36,78989,1400.7,,1395.9,-1.02,1.33,157.37,226.71,26.75,318,20237137,63548.87,8.24,17906,240912649,,,131383721,52733299,1053835,25402974,29896500,2153111,3469520,296841000,446202700,143576500,512809,,,76821,2209
2008,上海,136981500,1123248.3,62353978.8,73504272.9,0.82,45.52,53.66,73124,1391.04,1216.56,,-0.74,1.21,159.71,216.3,27.1,309,17455391,56564.99,9.7,18792,251211939,260582330,,,48294557,1008427,23587465,25939162,1202741,3260627,241661200,355890700,120836600,502899,,,84347,2194
2007,上海,121888500,1023863.4,56787852.15,64088973.3,0.84,46.59,52.58,66367,1378.86,1196.94,,-0.11,1.34,160.22,205.7,26.23,291,14372216,49311.11,14.3,15099,222599421,231123495,,,44586098,791954,20744792,21816780,1057666,2833335,217099500,303155300,93264500,484873,,,78108,2175
2006,上海,103663700,932973.3,50287260.87,52443465.83,0.9,48.51,50.59,57695,1368.08,1173.3,,-1.23,1.3,135.96,195.26,25.77,265,10924039,41188.59,12,14404,185731331,192669291,,,39250884,710689,15760724,17955660,202682,2054600,186039200,264548800,94802800,466333,,,75184,2158
2005,上海,91541800,805567.84,44525931.52,46210300.64,0.88,48.64,50.48,51474,1360.26,1148.94,,-1.46,1.83,169.64,266.36,25.65,345,11028270,31940.08,11.1,14769,157675146,163537305,,,35425531,684965,14173976,16463372,159199,1829415,167981200,233208600,84324900,442620,,,71303,2079
2004,上海,74502700,968535.1,37884622.95,35656992.22,1.3,50.85,47.86,55307,1352.39,1097.6,,-1.16,1.7,138.86,190.59,25.28,268,8006661,29874.49,13.64,12316,128758655,13863247,10034753,,30846560,654073,11197200,13956900,135100,1553500,149720100,199940500,69609900,415701,,,68710,2133
2003,上海,62508100,931370.69,31310307.29,30272672.83,1.49,50.09,48.43,46718,1341.77,1041.39,,-3.26,1.67,146.81,193.63,25.01,282,7686511,27304.58,11.8,10956,103428195,109826171,13291274,,24521126,585022,8992850,11026424,113439,1313724,131680500,173183800,60546000,378517,,,63861,2116
2002,上海,54087600,881627.88,25648339.92,27557632.2,1.63,47.42,50.95,40646,1334.23,1018.81,,-2.6,2.56,150.96,197.42,,293,7011418,23959.19,10.9,9982,77405618,79766064,9802166,,21870614,502951,,,,,,,,331649,,,56346,2104
2001,上海,49508400,856495.32,23556096.72,25095807.96,1.73,47.58,50.69,37382,1327.14,999.07,1324.4,-2.69,87.19,309.93,355.14,,298,6491882,21781.18,,9701,70035721,72130213,8294322,,19947306,439159,,,,,,,,279966,,,49499,2093
2000,上海,45511500,819207,21617962.5,23028819,1.8,47.5,50.6,,1321.63,986.16,,-1.9,88.68,312.26,344.3,,317,5876557,18531,10.8,8460,62045227,64296788,7338112,,18696749,316029,,,,,,,,226798,,,47954,2084
