年份,地区,地区生产总值(万元),第一产业增加值(万元),第二产业增加值(万元),第三产业增加值(万元),第一产业增加值占GDP比重(%),第二产业增加值占GDP比重(%),第三产业增加值占GDP比重(%),人均地区生产总值(元),户籍人口(万人),非农业人口数(万人),年平均人口(万人),自然增长率(‰),第一产业从业人员数(万人),第二产业从业人员数(万人),第三产业从业人员数(万人),教育业从业人员数(万人),在岗职工平均人数(万人),在岗职工工资总额(万元),职工平均工资(元),地区生产总值增长率(%),规模以上工业企业数(个),规模以上工业总产值(当年价，万元),产品销售收入(万元),利税总额(万元),流动资产合计(万元),固定资产投资总额(万元),当年实际使用外资金额(万美元),地方财政一般预算内收入(万元),地方财政一般预算内支出(万元),科学支出(万元),教育支出(万元),年末金融机构各项贷款余额(万元),年末金融机构存款余额(万元),城乡居民储蓄年末余额(万元),普通高等学校在校学生数(人),专利授权数(件),发明专利授权数(件),货运总量(万吨),人口密度(人／平方公里)
1999,上海,40349600,806992,19529206.4,20013401.6,2,48.4,49.6,,1313.12,969.63,,-2.27,92.45,325.06,316.25,,337,5605445,16641,10.19,9205,54529098,54723378,5706253,,18567130,304772,,,,,,,,186307,,,44485,2071
1998,上海,36882000,774522,18477882,17629596,2.1,50.1,47.8,,1306.58,953.65,,7.72,103.46,345.89,322.73,,362,4909915,13581,10.1,,,53981369,4810102,,19648298,363786,,,,,,,,165123,,,42096,2061
1997,上海,33602100,759407.46,17543656.41,15299036.13,2.26,52.21,45.53,,1305.46,943.03,,-2.41,82.77,384.67,383.88,,446,5100996,11425,12.65,,,53844890,5131739,,19775919,480816,,,,,,,,153804,,,40641,2059
1996,上海,29022000,725550,15816990,12479460,2.5,54.5,43,,1304.43,932.14,,,79.29,410.74,302.9,,,4927045,10663,13,,,48561618,4968802,,11148597,751000,,,,,,,,147926,,,40213,2057
1995,上海,24625700,615642.5,14110526.1,9899531.4,2.5,57.3,40.2,,1301.37,921.7,,-2.06,78.62,432.04,283.53,,,4407495,9279,14.1,,,45752587,5173708,,9822026,324996,,,,,,,,144082,,,22531,2052
1994,上海,19720000,490000,11430000,7800000,2.485,57.961,39.554,,1298.81,910.49,,-1.4,76.24,440.16,269.6,,,3578871,7401.09,,,,32345786,4417493,,8530288,324727,,,,,,,,140396,,,23775,2045
1993,上海,,,,,,,,,1294.74,893.46,,,,,,,,,,,,,,,,5195950,,2423414,1292586,,187338,,,,131034,,,25708,2042
1992,上海,,,,,,,,,1289.37,875.55,,0.2,,,,,,,,,,,,,,2717039,,1855578,949916,,140947,,,,,,,25415,2033
1991,上海,8577100,333700,5513400,2730100,3.891,64.28,31.83,6673,1287.2,869.88,1285.3,1.18,89.44,459,225.89,,,1728452,,,,,17621876,2422484,,2129244,16420,1650861,808477,,,,,,116925,,,23693,2030
1990,上海,7446700,326000,4826800,2293900,4.378,64.818,30.804,5818,1283.35,864.46,1279.9,3.5,93.92,455.77,217.19,,,1467835,,,,,14473919,2020211,,1885930,17719,1627360,722264,,,,,,121251,,,22842,2024
2022,杭州,187530000,3450552,56202741,127876707,1.84,29.97,68.19,152588,847,,,,,,,,286,44939432,,1.5,6802,,,,175414983,,,24506119,25420894,2077342,5000916,618029597,673452346,,,121196,30100,,
2021,杭州,181090000,3332056,54888379,122869565,1.84,30.31,67.85,149857,835,,,,,,,,273,41227622,151121,8.49,6528,,,,142193252,,,23865936,23920396,1796737,4662642,556614800,584092500,,,122520,22948,,
2020,杭州,161060000,3253412,48205258,109585224,2.02,29.93,68.04,136617,,,,,,,,,269,35531648,132188,3.9,5992,,,,123842635,,,20933893,20696554,1443254,4033432,491846035,518930345,,,92399,17327,,
2019,杭州,153730000,3259076,48747783,101723141,2.12,31.71,66.17,152465,795,,785,6.87,0.108,128.679,157.758,21.026,266,32021037,120308,6.75,5698,,,,109714647,,612818,19659731,19528530,1481879,3635648,412374333,436441695,116773374,,61568,11748,,
2018,杭州,135091508,3053068.081,45714966.31,86323473.61,2.26,33.84,63.9,140180,774,,764,6.23,0.068,132.743,146.376,18.959,260,27755171,106709,6.72,5431,,,,98854167,,682658,18250616,17170834,1182090,3154350,358775598,388100493,99812364,,55379,10267,,
2017,杭州,126033600,,,,,,,135113,754,,745,6.12,0.108,138.588,148.326,18.687,264,25542936,96670,,5533,,,,90095810,,661001,15674169,15409156,923236,2792968,285736300,353219400,85029600,,42227,9872,,
2016,杭州,113137223,3043391.299,41204576.62,68889255.09,2.69,36.42,60.89,124286,736,,730,7.51,0.092,146.666,143.376,18.138,266,23184590,87153,9.6,5684,124209588,,,85029167,58424194,720915,14023826,14043065,749190,2530114,254648309,325146405,83131325,427978,,,,
2015,杭州,100502079,2884409.667,39085258.52,58532410.81,2.87,38.89,58.24,112230,723.55,,719.7,4.23,0.1,150.753,137.707,17.831,265,20601998,77816,10.15,6073,124156802,,,83067772,55563183,711253,12338820,12054777,701490,2234425,223952892,290030714,75070901,475558,,,,436
2014,杭州,92061633,2743436.663,38454144.1,50864052.23,2.98,41.77,55.25,103813,715.8,,711.2,6.9,0.112,159.786,133.544,17.483,268,19003346,70823.44,8.16,6169,128530518,,,79385120,49527010,633460,10273169,9611771,524082,1826924,203561710,239500462,66945512,474700,,,29335,431
2013,杭州,83435193,2653239.137,36619706.21,44162247.66,3.18,43.89,52.93,118013,706.6,,703.6,4.7,0.17,153.39,129,16.91,259,16824084,65053.3,6.94,6284,124079833,,,76160953,42638732,527633,9452020,8557370,462600,1624445,183995295,217490498,63397531,471820,,,30734,426
2012,杭州,78020058,2551255.897,35725384.56,39743417.55,3.27,45.79,50.94,88962,700.5,,698.1,3.9,0.13,155.01,126.76,16.14,263,14839012,56417.81,9,5927,129622800,,,72147188,37227544,496061,8599875,7862800,401878,1469766,172158288,195998475,60220823,459181,,,30088,423
2011,杭州,70190579,2365422.512,33235239.16,34582898.27,3.37,47.35,49.27,80478,695.7,,692.4,4.6,0.16,144.91,119.23,15.27,206,11222834,54408.46,10.1,5868,123529249,,,67097621,31000218,472230,7851524,7475108,349228,1320537,164216553,182443469,55191683,446721,,,28831,419
2010,杭州,59491687,2082209.045,28442975.56,28966502.4,3.5,47.81,48.69,69828,689.12,,686.2,3.4,0.15,125.86,106.7,14.41,191,9330552,48771.9,12,10370,110796496,,,60116766,27531348,435627,6713413,6165836,288559,1058828,150787269,170843548,49909744,434811,,,25915,415
2009,杭州,50875530,1902744.822,23870798.68,25096898.95,3.74,46.92,49.33,63333,683.38,,680.5,3.41,0.17,112.82,91.37,12.78,172,7549145,43946.59,10,10032,93907333,,,49682100,22916543,401370,5207899,4903983,220721,862769,131133023,142842104,42869189,394087,,,22372,412
2008,杭州,47811649,1788155.673,23891481.01,22132012.32,3.74,49.97,46.29,70832,677.64,340.76,,2.76,0.17,99.88,82.36,12.1,160,6416424,40193.08,11,9907,93795792,89764565,,,19805018,331154,4553531,4196674,185485,742531,97843100,111462400,34206500,379857,,,22550,408
2007,杭州,41001722,1635968.708,20570563.93,18799289.54,3.99,50.17,45.85,52590,672.35,323.75,,3.34,0.18,81.92,70.72,11.68,136,4954813,36496.85,14.6,8674,83514029,80570308,,,16841298,280181,3916195,3357153,121559,627460,81423200,91544600,25787800,366160,,,22569,405
2006,杭州,34415068,1548678.06,17345194.27,15521195.67,4.5,50.4,45.1,51878,666.31,309.78,,2.84,0.16,64.11,65.05,11.01,116,3811736,32791.95,14.3,7826,69754591,68076430,,,14607422,225536,3013888,2754809,12028,422128,64960300,76830200,24736900,349976,,,20925,401
2005,杭州,29426519,1483096.558,14969270.22,12974152.23,5.04,50.87,44.09,44853,660.45,297.54,,3.3,0.21,45.95,55.61,10.43,98,3010148,30578.5,13,7359,54411271,52827979,,,13866833,171274,2504565,2383344,9508,363360,55453000,67487200,21916600,328524,,,19909,398
2004,杭州,25150000,1390795,13329500,10429705,5.53,53,41.47,38858,651.68,282.58,,4,0.28,30.24,50.42,9.98,76,2187934,28891.25,15,5607,41491039,40751984,2208324,,12051792,140982,1974523,1956282,8174,307762,48000400,57072000,18351700,292946,,,18895,393
2003,杭州,20997744,1266163.963,10893629.59,8837950.45,6.03,51.88,42.09,32819,642.78,263.67,,2.31,0.35,29.56,50.47,10.04,76,1867776,24666.88,15.2,4689,32025226,31174590,3595358,,10067440,100850,1503888,1635948,6677,245468,36869000,44395300,14664200,269798,,,16815,387
2002,杭州,17818302,1145716.819,9017842.642,7652960.709,6.43,50.61,42.95,28150,636.81,252.02,,2.7,0.73,28.79,50.53,,75,1614676,21417.64,13,4015,24002972,22882065,2749833,,5623366,52186,1183200,1410200,,,,,11834000,208338,,,14347,384
2001,杭州,15680138,1114857.812,7935717.842,6629562.346,7.11,50.61,42.28,25074,629.14,237.77,625.4,2.9,0.88,33.32,49.29,,81,1481660,18319.24,,3580,19195133,18282784,2085375,,4617873,50324,1042800,1049300,,,,,9418400,162219,,,15841,379
2000,杭州,13825616,1036921.2,7092541.008,5696153.792,7.5,51.3,41.2,,621.58,226.99,,3.57,0.8,37.83,49.76,,89,1267524,14313,12,2715,15435682,14654929,1616130,,3766473,43093,691900,734300,,,,,7885600,112777,,,11459,375
1999,杭州,12252795,980223.6,6310189.425,4974634.77,8,51.5,40.6,,616.05,219.05,,3.62,1.18,43.34,53.54,,97,1180947,12187,10.18,2474,12000796,11328007,1278946,,2385168,42025,449600,563500,,,,,,89109,,,11684,371
1998,杭州,11348899,964656.415,5878729.682,4505512.903,8.5,51.8,39.7,,611.64,210.52,,6.25,1.38,48.55,56.54,,105,1112717,10555,12.1,,,10360891,1013635,,3636607,38425,,,,,,,,76546,,,11331,369
1997,杭州,10363299,914042.972,5414823.728,4034432.301,8.82,52.25,38.93,,607.96,204.39,,3.92,133.08,156.59,130.14,,117,1073862,9178,15.41,,,8509236,847643,,3033904,41187,,,,,,,,64124,,,1674,366
1996,杭州,9066133,843150.369,4777852.091,3454196.673,9.3,52.7,38.1,,603.22,196.68,,4.71,134.08,156.36,129.88,,,973592,7966,10.9,,,8075197,692163,,1245584,53651,,,,,,,,66023,,,1551,363
1995,杭州,7620055,693425.005,4099589.59,2827040.405,9.1,53.8,37.1,,597.96,191.43,,4.43,138.6,158.46,125.5,,,890488,7156,2.4,,,7728451,650483,,1038295,42659,,,,,,,,58570,,,8556,360
1994,杭州,5855239,575131,3143430,2136678,9.823,53.686,36.492,,592.93,186.5,,4.8,143.21,156.69,121.31,,,772236,6117.69,,,,6159228,635044,,790201,41098,,,,,,,,59109,,,8962,356
1993,杭州,3947700,,,,,,,,587.1,179.11,,4.8,,,,,,,,,,,,,,585281,,394946,185168,,30024,,,,47746,,,9082,354
1992,杭州,2678500,,,,,,,,582.4,174.03,,4.6,,,,,,,,,,,,,,339906,,286394,132841,,23527,,,,,,,1948,351
1991,杭州,2085600,334000,1131100,620500,16.015,54.234,29.752,3616,578.73,171.25,576.8,5.65,161.1,133.8,87.39,,,313906,,,,,3032557,325250,,230821,2129,267597,123134,,,,,,39572,,,1814,349
1990,杭州,1780300,309400,961700,509200,17.379,54.019,28.602,3108,574.78,169,572.9,7.3,163.03,132.53,71.05,,,277910,,,,,2448765,318011,,208680,751,252503,118167,,,,,,42458,,,1767,346
2022,宁波,157040000,3816072,74138584,79085344,2.43,47.21,50.36,163911,621,,,,,,,,155,20843908,,3.5,10342,,,,154747887,,,16802309,21878133,1509955,2987893,323772756,302037454,,,76127,9611,,
2021,宁波,145950000,3561180,69968430,72420390,2.44,47.94,49.62,153922,618,,,,,,,,156,19787384,127011,8.2,9831,,,,141286469,,,17231388,19444158,1312319,2844358,285131589,261876551,,,72390,7819,,
2020,宁波,124090000,3387657,56944901,63757442,2.73,45.89,51.38,132614,,,,,,,,,161,17966870,111286,3.3,8571,,,,121549914,,,15108432,17420878,1125943,2695754,250519770,231666786,,,60520,5331,,
2019,宁波,119850000,3223965,57827625,58798410,2.69,48.25,49.06,143157,608,,606,2.13,0.064,83.932,74.15,11.994,134,14895493,110878,6.8,8242,,,,103647357,,236341,14685072,17678895,1241564,2514461,217742284,202908596,74754684,,47220,5075,,
2018,宁波,107454632,3062457.012,55070498.9,49321676.09,2.85,51.25,45.9,132603,603,,600,1.82,0.031,87.296,63.498,9.199,130,13256496,102325,7,7602,,,,94912652,,432017,13796865,15941000,782647,2235538,193411109,185325127,65612648,,44777,5302,,
2017,宁波,98420600,,,,,,,123955,597,,594,3.03,0.037,98.412,62.833,9.168,135,12344162,91705,,7500,,,,88159049,,402995,12452880,14106049,587880,2146045,171252864,173925325,59026776,,36993,5382,,
2016,宁波,86864911,3022898.903,44553012.85,39288999.25,3.48,51.29,45.23,110656,591,,589,2.83,0.039,92.503,59.321,9.093,129,11401300,83656,7.1,7286,145002400,,,78513525,49613931,451333,11145409,12892601,566227,1983694,158067586,161960114,56894416,155144,,,,
2015,宁波,80036103,2849285.267,40978484.74,36208333,3.56,51.2,45.24,102374,586.57,,585.2,1.85,0.045,104.584,62.204,8.964,143,10734918,74989,8,7509,138694578,,,72467212,45065771,423375,10064065,12526362,473092,1906754,149669245,154002364,53028406,155767,,,,598
2014,宁波,76102816,2754921.939,39801772.77,33538511.01,3.62,52.3,44.07,98362,583.8,,582,3.6,0.05,110.575,61.081,8.96,146,10263768,70227.63,7.6,7383,140280501,,,70776014,39894626,402514,8606109,10008563,428212,1596238,136106069,133074057,47803126,150854,,,40406,595
2013,宁波,71288672,2766000.474,37419423.93,31110376.46,3.88,52.49,43.64,122912,580.2,,578.9,2.2,0.06,112.05,59.24,8.91,144,9124123,63151.46,8.31,7167,130100892,,,68701412,34229529,327483,7928080,9398939,375758,1484777,124932759,127405215,45623634,148954,,,36145,591
2012,宁波,65822064,2685540.211,35168728.8,27967794.99,4.08,53.43,42.49,86228,577.7,,577.1,2.1,0.06,117.02,57.62,8.45,149,8378694,56255.5,7.8,6804,121550760,,,63776216,29014258,285252,7255003,8284437,324076,1417046,113003187,116023188,41759634,145358,,,33286,589
2011,宁波,60592409,2550940.419,33495483.7,24545984.89,4.21,55.28,40.51,79524,576.4,,575.2,2,0.12,118.26,53.42,7.83,150,7485848,49756.38,10,6616,120447699,,,59744501,23855072,280929,6575531,7507233,281531,1176706,106768424,106592654,36962819,144424,,,32020,587
2010,宁波,51630017,2189112.721,28706289.45,20729451.83,4.24,55.6,40.15,69368,574.08,,572.6,2.34,0.13,92.07,47.99,7.42,129,5611912,43476.23,12.5,12491,106187425,,,54551296,21932830,232336,5309278,6007447,221455,892738,94141982,97555158,33121737,140818,,,31377,585
2009,宁波,43293025,1835624.26,23620674.44,17836726.3,4.24,54.56,41.2,60720,571.02,,569.6,1.9,0.14,87.69,44.44,7.2,120,4696906,39137.62,6.7,12059,82728470,,,43997516,20042179,220541,4328003,5060788,169678,771087,77159070,82414306,29017634,135098,,,29028,582
2008,宁波,39640472,1672827.918,21964785.54,15998894.5,4.22,55.41,40.36,69997,568.09,198.49,,2.17,0.14,73.57,40.92,7.07,111,3991251,35834.54,10.12,12098,85379053,82622328,,,17282413,253789,3903874,4394083,155104,671416,56704409,62104691,23651493,130440,,,25720,579
2007,宁波,34350042,1511401.848,18992138.22,13846501.93,4.4,55.29,40.31,66067,564.56,194.21,,2.32,0.15,66.61,37.97,7.04,98,3213429,32924.48,14.9,11017,77890140,74562356,,,15975361,250518,3291218,3710400,152480,590599,49580571,53040149,18560788,126094,,,22931,575
2006,宁波,28744435,1394105.098,15835309.24,11515020.66,4.85,55.09,40.06,51460,560.45,188.98,,2.03,0.15,60,35.27,6.94,89,2570098,28949.07,13.6,9873,61879133,59305872,,,15027686,243018,2573799,2926969,11732,369947,37274957,45734811,17520388,121263,,,20305,598
2005,宁波,24493099,1322627.346,13414870.32,9755601.332,5.4,54.77,39.83,44156,556.7,182.61,,2.07,0.17,47.89,32.97,6.84,76,2198126,29045.01,12.6,8788,48909669,46981648,,,13363043,231097,2123797,2647747,9576,312652,29597759,37919362,14588012,110548,,,17308,594
2004,宁波,21580377,1234397.564,12302972.93,8043006.508,5.72,57.01,37.27,39174,552.69,176.19,,2.29,0.2,38.94,32.01,6.56,65,1681086,25823.13,15.5,5927,35094791,34940795,2419135,,10956650,210332,1517490,2159499,6340,261747,24836090,30917954,12089813,96425,,,15826,590
2003,宁波,17868542,1122144.438,10011744.08,6734653.48,6.28,56.03,37.69,32639,549.07,168.81,,1.33,0.22,34.18,30.94,6.31,60,1418635,23691.3,15.6,4672,26302862,26048962,3220120,,8375862,172727,1394162,1802545,5103,217807,21027772,26290346,10596339,80108,,,13797,586
2002,宁波,15003435,1057742.168,8289397.838,5657795.339,7.05,55.25,37.71,27541,546.19,162.43,,1.66,0.29,28.08,30.07,,55,1155660,21123.38,13.2,4060,20001637,19450219,2670858,,3934538,124696,1118400,1452600,,,,,8624000,62044,,,12327,583
2001,宁波,13126854,1002891.646,7189577.936,4934384.419,7.64,54.77,37.59,24213,543.35,150.86,542.1,1.7,0.51,27.16,29.79,,56,1059989,19088.58,,3530,16296574,15386987,2137249,,3205235,87446,991100,1162800,,,,,6994600,43417,,,11182,580
2000,宁波,11757538,952360.578,6584221.28,4209198.604,8.1,56,35.8,,540.94,142.03,,3.1,0.74,30,31.11,,60,927748,15512,8.9,2803,14276977,13505192,1632597,,2452652,62186,692100,892300,,,,,5860500,25918,,,10731,578
1999,宁波,10417362,927145.218,5823305.358,3666911.424,8.9,55.9,35.2,,538.41,137.12,,3.78,0.95,30.01,32.62,,62,824034,13259,7.36,2498,10622866,9853199,1186526,,1663817,39956,547500,740500,,,,,,16825,,,10298,575
1998,宁波,9734402,885830.582,5431796.316,3416775.102,9.1,55.8,35.1,,535.27,130.48,,6.12,1.03,32.81,35.08,,68,768934,11330,11,,,8352444,880019,,3098086,50329,,,,,,,,12473,,,11808,572
1997,宁波,8974306,853456.501,5112662.128,3008187.371,9.51,56.97,33.52,,533.31,123.5,,4.47,133.9,181.69,96.41,,77,744910,9674,13.68,,,7475136,785988,,3005719,55408,,,,,,,,11548,,,10513,569
1996,宁波,7958607,931157.019,4504571.562,2522878.419,11.7,56.6,31.7,,530.08,119.51,,5.23,134.01,189.84,89.75,,,660757,8507,17.4,,,7221532,665659,,1458906,50162,,,,,,,,10425,,,10312,566
1995,宁波,6376278,816163.584,3717370.074,1842744.342,12.8,58.3,28.9,,526.2,115.3,,5.13,133.62,190.94,87.84,,,573191,7361,20.5,,,6647002,626087,,967147,39909,,,,,,,,9764,,,9550,562
1994,宁波,4635058,637325,2632496,1365237,13.75,56.795,29.455,,522.85,112.68,,4.8,138.72,165.38,81.92,,,470311,6050.57,,,,4804567,356034,,826417,35812,,,,,,,,8298,,,8697,557
1993,宁波,3164200,,,,,,,,519.98,109.81,,5,,,,,,,,,,,,,,505906,,282516,180442,,25697,,,,6608,,,7438,555
1992,宁波,2130500,,,,,,,,516.72,106.82,,4.3,,,,,,,,,,,,,,384562,,198354,119133,,18773,,,,,,,6469,552
1991,宁波,1698600,327500,983900,387200,19.281,57.924,22.795,3315,514.16,104.55,512.5,6.01,144.55,133.24,54.59,,,181852,,,,,2181521,256407,,258831,2680,177875,106961,,,,,,4871,,,5162,549
1990,宁波,1414000,293500,803100,317400,20.757,56.796,22.447,2777,510.76,102.98,509.2,7.2,144.81,128.87,51.45,,,156732,,,,,1673540,211693,,219947,2197,159803,96991,,,,,,4872,,,4763,545
2022,嘉兴,67390000,1442146,37192541,28755313,2.14,55.19,42.67,121794,375,,,,,,,,77,9564727,,2.49,6592,,,,97732536,,,5964742,8277051,461927,1586842,140983851,132604790,,,39085,3932,,
2021,嘉兴,63550000,1321840,34539425,27701445,2.08,54.35,43.59,116323,372,,,,,,,,74,8678435,117155,8.5,6818,,,,84605632,,,6748000,7937224,389168,1484607,120667061,117006917,,,41264,3818,,
2020,嘉兴,55100000,1239750,28607920,25252330,2.25,51.92,45.83,102541,,,,,,,,,72,7758711,107614,3.45,6364,,,,68038410,,,5988000,7121830,340099,1402850,100261567,104890408,,,34966,4733,,
2019,嘉兴,53700000,1208250,28928190,23568930,2.25,53.87,43.89,112751,364,,362,1.85,0.028,42.935,31.007,6.172,71,6945030,97767,7,6452,,,,60110070,,412541,5656945,7668853,330388,1310320,80044316,93184427,43134368,,27771,2313,,
2018,嘉兴,48719836,1149788.13,26245375.65,21324672.22,2.36,53.87,43.77,103858,360,,358,1.74,0.086,45.91,29.262,5.879,73,6588599,90342,7.6,5822,,,,53416070,,313980,5185536,5888689,238688,1202026,67706905,81043226,37194671,,24589,2506,,
