年份,地区,地区生产总值(万元),第一产业增加值(万元),第二产业增加值(万元),第三产业增加值(万元),第一产业增加值占GDP比重(%),第二产业增加值占GDP比重(%),第三产业增加值占GDP比重(%),人均地区生产总值(元),户籍人口(万人),非农业人口数(万人),年平均人口(万人),自然增长率(‰),第一产业从业人员数(万人),第二产业从业人员数(万人),第三产业从业人员数(万人),教育业从业人员数(万人),在岗职工平均人数(万人),在岗职工工资总额(万元),职工平均工资(元),地区生产总值增长率(%),规模以上工业企业数(个),规模以上工业总产值(当年价，万元),产品销售收入(万元),利润总额(万元),流动资产合计(万元),固定资产投资总额(万元),当年实际使用外资金额(万美元),地方财政一般预算内收入(万元),地方财政一般预算内支出(万元),科学支出(万元),教育支出(万元),年末金融机构各项贷款余额(万元),年末金融机构存款余额(万元),城乡居民储蓄年末余额(万元),普通高等学校在校学生数(人),专利授权数(件),发明专利授权数(件),货运总量(万吨),人口密度(人／平方公里)
2012,广州,136000000.0,2141091.0,47212406.0,86172127.0,1.58,34.84,63.59,105909.0,822.3,704.17,818.4,6.2,0.25,148.45,178.15,21.67,268.0,18062285.0,67514.99,10.5,4373.0,161000000.0,114000000.0,8256048.0,64593607.0,37583868.0,474312.0,11023961.0,13436451.0,521165.0,2234976.0,180000000.0,290000000.0,113000000.0,939208.0,60201.0,9345.0,75175.0,791.0
2011,广州,124000000.0,2049867.0,45767949.0,76416573.0,1.65,36.84,61.51,97588.0,814.6,704.17,810.4,5.3,0.35,142.56,167.33,19.63,296.0,17008733.0,57473.59,11.3,4437.0,157000000.0,114000000.0,9585300.0,65179319.0,34122000.0,427000.0,9794800.0,11812500.0,222300.0,1753300.0,163000000.0,258000000.0,100000000.0,896100.0,60201.0,9345.0,64132.0,779.0
2010,广州,107000000.0,1880949.0,40026605.0,65575273.0,1.75,37.24,61.01,103625.0,806.14,704.17,800.4,6.72,0.6,105.73,140.04,18.31,239.0,13044801.0,54494.11,13.2,6969.0,138000000.0,114000000.0,10312744.0,60871184.0,32635731.0,397862.0,8726470.0,9773199.0,319379.0,1126343.0,163000000.0,240000000.0,93023300.0,843934.0,60201.0,9345.0,56644.0,766.0
2009,广州,91382135.0,1727122.0,34048984.0,55606029.0,1.89,37.26,60.85,89082.0,794.62,704.17,789.4,4.25,0.72,102.71,131.72,17.38,224.0,11098493.0,49518.11,11.7,7023.0,114000000.0,114000000.0,7791165.0,50733991.0,26598516.0,377339.0,7026527.0,7899155.0,323623.0,1103199.0,139000000.0,209000000.0,82142100.0,796006.0,60201.0,9345.0,51797.0,759.0
2008,广州,82158151.0,1676026.0,31992384.0,48489741.0,2.04,38.94,59.02,81233.0,784.14,704.17,779.05,4.43,0.77,99.59,125.18,16.8,218.0,9968517.0,45701.99,12.33,5092.0,116000000.0,114000000.0,5492048.0,50733991.0,21056725.0,362277.0,6218355.0,7133508.0,262213.0,959475.0,111000000.0,169000000.0,71112700.0,736152.0,60201.0,9345.0,48360.0,792.0
2007,广州,71091814.0,1500037.0,28067048.0,41524729.0,2.11,39.48,58.41,71808.0,773.48,693.55,768.7,3.72,0.79,101.25,121.65,16.62,214.0,8683302.0,40561.01,14.9,4988.0,89104386.0,88630531.0,7531147.0,50733991.0,18633437.0,328579.0,5237862.0,6236917.0,211587.0,807715.0,96613800.0,148000000.0,58557900.0,687115.0,60201.0,9345.0,45142.0,739.0
2006,广州,60738277.0,1451645.0,24301385.0,34985248.0,2.39,40.01,57.6,63100.0,760.72,526.4,758.35,3.51,0.81,91.01,115.34,15.92,199.0,7299497.0,36769.58,14.82,5188.0,72820564.0,72493321.0,5388451.0,50733991.0,16963824.0,292339.0,4270831.0,5067899.0,26334.0,523935.0,79317820.0,127000000.0,55623554.0,619442.0,60201.0,9345.0,42320.0,730.0
2005,广州,51542283.0,1304020.0,20451978.0,29786285.0,2.53,39.68,57.79,69268.0,750.53,517.23,748.0,3.18,0.84,86.94,111.98,15.52,191.0,6562762.0,34327.66,12.9,5240.0,60319154.0,59945469.0,4048255.0,50733991.0,15191582.0,264882.0,3712633.0,4384122.0,24082.0,473748.0,69080309.0,111000000.0,50246879.0,554327.0,60201.0,9345.0,37753.0,720.0
2004,广州,41158077.0,1156542.0,18175407.0,21826128.0,2.81,44.16,53.03,56271.0,737.67,507.78,737.65,3.82,1.14,87.6,105.66,14.72,186.0,5891767.0,31592.94,15.0,4727.0,50433323.0,50938119.0,4048255.0,50733991.0,13489283.0,240062.0,3028692.0,4083373.0,24791.0,452103.0,65353948.0,96135721.0,42568178.0,459676.0,60201.0,9345.0,35204.0,692.0
2003,广州,34968787.0,1098020.0,15082038.0,18788729.0,3.14,43.13,53.73,48372.0,725.19,493.32,727.3,2.24,1.13,84.65,102.25,14.2,182.0,5247087.0,28804.83,15.2,4709.0,40178324.0,40810727.0,4048255.0,50733991.0,11751668.0,258076.0,2747707.0,3700911.0,20827.0,377126.0,61272742.0,86767209.0,37273276.0,374742.0,60201.0,9345.0,28859.0,684.0
2002,广州,30014760.0,1029506.0,12270034.0,16712218.0,3.43,40.88,55.68,41884.0,720.62,502.3,716.95,3.09,0.98,73.94,100.66,14.2,170.0,4458892.0,26219.52,13.2,4632.0,31764294.0,32148208.0,4048255.0,50733991.0,10092421.0,228386.0,2458700.0,3266700.0,20827.0,345960.8,61272742.0,86767209.0,31328000.0,299037.0,60201.0,9345.0,25005.0,676.0
2001,广州,26857574.0,972244.2,11250638.0,14634692.0,3.62,41.89,54.49,38007.0,712.6,451.08,706.6,4.2,1.28,68.98,98.43,14.2,168.0,3822729.0,22771.96,13.25,4572.0,28291517.0,28113121.0,4048255.0,50733991.0,9782093.0,300119.0,2719100.0,3149800.0,20827.0,314795.6,61272742.0,86767209.0,26004300.0,244736.0,60201.0,9345.0,24500.0,668.0
2000,广州,23759129.0,950365.2,10311462.0,12497302.0,4.0,43.4,52.6,34852.7,700.69,436.11,695.76,4.51,1.4,73.2,100.94,14.2,174.0,3432069.0,19675.0,13.3,4531.0,25685694.0,25342544.0,4048255.0,50733991.0,5680860.0,298923.0,2199100.0,2586000.0,20827.0,283630.4,61272742.0,86767209.0,22398600.0,185078.0,60201.0,9345.0,24156.0,659.0
1999,广州,20567383.0,925532.2,9399294.0,10242557.0,4.5,45.7,49.8,31698.4,685.0,425.63,684.9200000000001,6.23,1.64,78.39,102.27,14.2,183.0,3047594.0,16671.0,13.18,4441.0,23348139.0,22026583.0,4048255.0,50733991.0,8782586.0,298687.0,1761500.0,2223700.0,20827.0,252465.2,61272742.0,86767209.0,22398600.0,134283.0,60201.0,9345.0,23854.0,744.0
1998,广州,18416052.0,883970.5,8268807.0,9263274.0,4.8,44.9,50.3,28544.1,674.14,417.38,674.08,6.09,2.11,84.39,105.29,14.2,191.0,2801525.0,14692.0,13.1,4441.0,23348139.0,21080745.0,4048255.0,50733991.0,7588283.0,271608.0,1321900.0,1751100.0,20827.0,221300.0,61272742.0,86767209.0,22398600.0,108378.0,60201.0,9345.0,24076.0,728.0
1997,广州,16462567.0,857699.7,7661679.0,7943189.0,5.21,46.54,48.25,25389.8,666.49,410.87,663.24,5.92,93.78,162.72,171.71,14.2,199.0,2615842.0,13118.0,13.39,4441.0,23348139.0,15686371.0,4048255.0,50733991.0,6565767.0,248003.0,977200.0,1389900.0,20827.0,190134.8,61272742.0,86767209.0,22398600.0,102372.0,60201.0,9345.0,23400.0,724.0
1996,广州,14449358.0,809164.0,6747850.0,6877894.0,5.6,46.7,47.6,22235.5,656.05,403.27,652.4000000000001,6.31,92.72,136.33,163.84,14.2,199.0,2395597.0,11813.0,12.4,4441.0,23348139.0,14360389.0,4048255.0,50733991.0,3392397.0,260002.0,852400.0,1219100.0,20827.0,158969.6,61272742.0,86767209.0,22398600.0,99214.0,60201.0,9345.0,22638.0,641.0
1995,广州,12430697.0,733411.1,5805135.0,5892150.0,5.9,46.7,47.4,19081.199999999997,646.71,395.28,641.5600000000001,6.25,91.97,142.46,156.94,14.2,199.0,2146245.0,10317.0,16.4,4441.0,23348139.0,13096243.0,4048255.0,50733991.0,3319599.0,214444.0,970800.0,1112400.0,20827.0,127804.4,61272742.0,86767209.0,22398600.0,95429.0,60201.0,9345.0,26280.0,641.0
1994,广州,9761829.0,606222.0,4567537.0,4588070.0,6.21,46.79,47.0,15926.899999999998,637.02,387.24,630.72,7.2,91.2,142.17,149.83,14.2,199.0,1815428.0,8623.13,16.4,4441.0,23348139.0,10220410.0,4048255.0,50733991.0,2771821.0,181403.0,628700.0,737400.0,20827.0,96639.20000000001,61272742.0,86767209.0,22398600.0,89019.0,60201.0,9345.0,25817.0,628.0
1993,广州,7408369.0,489367.92181249196,3515159.8170270766,3485348.7490027645,6.537763888002993,46.817669222503575,46.646870895561385,12772.599999999999,623.66,375.39,619.88,7.7,92.68921916831528,139.99310959419233,142.2398386337659,14.2,199.0,1472816.3367681792,8623.13,16.4,4441.0,23348139.0,8422481.0,4048255.0,50733991.0,1407590.0,132494.25502900846,773690.0,538187.0,20827.0,65474.0,61272742.0,86767209.0,22398600.0,78901.0,60201.0,9345.0,24083.0,625.0
1992,广州,5107027.0,380368.13759294397,2593464.4536870974,2553955.2528538206,6.896978516451139,46.7305043161857,46.3743211783094,9618.3,612.2,355.84,609.0400000000001,7.5,96.34751660264624,136.59449211903348,134.1063679150138,14.2,199.0,1123748.4325684493,8623.13,16.4,4441.0,23348139.0,6624552.0,4048255.0,50733991.0,1171978.0,73180.00089233939,513492.0,322512.0,20827.0,44112.0,61272742.0,86767209.0,22398600.0,71645.0,60201.0,9345.0,20959.0,622.0
1991,广州,3866700.0,281700.0,1799200.0,1785800.0,7.285,46.531,46.184,6464.0,602.22,348.29,598.2,8.06,98.69,131.64,125.62,14.2,199.0,783043.0,8623.13,16.4,4441.0,23348139.0,4826623.0,4048255.0,50733991.0,748863.0,23161.0,484892.0,307096.0,20827.0,44112.0,61272742.0,86767209.0,22398600.0,64389.0,60201.0,9345.0,18030.0,618.0
1990,广州,3196000.0,257300.0,1363000.0,1575700.0,8.051,42.647,49.302,5418.0,594.25,341.39,589.8,9.5,96.2,119.65,116.37,14.2,199.0,656434.0,8623.13,16.4,4441.0,23348139.0,3621926.0,4048255.0,50733991.0,680880.0,18087.0,369420.0,243132.0,20827.0,44112.0,61272742.0,86767209.0,22398600.0,65465.0,60201.0,9345.0,16355.0,616.0
2022,深圳,324000000.0,259104.0,124000000.0,200000000.0,0.08,38.3,61.62,183274.0,658.0,228.07,526.0,19.41,0.034,242.374,253.201,20.787,503.0,82856217.0,155563.0,3.3,13790.0,273000000.0,147000000.0,33155634.0,403000000.0,40781638.0,780944.0,40124390.0,49973834.0,4587417.0,9489438.0,804000000.0,1190000000.0,160000000.0,91883.0,275774.0,52172.0,29384.0,862.0
2021,深圳,307000000.0,275985.0,113000000.0,193000000.0,0.09,36.98,62.94,173663.0,631.0,228.07,526.0,19.41,0.034,242.374,253.201,20.787,498.0,77523407.0,155563.0,6.7,13027.0,273000000.0,147000000.0,34619898.0,345000000.0,40781638.0,780944.0,42576972.0,45702233.0,3822518.0,9645583.0,739000000.0,1070000000.0,160000000.0,91883.0,279177.0,45202.0,29384.0,862.0
2020,深圳,277000000.0,249030.0,105000000.0,172000000.0,0.09,37.78,62.13,159309.0,595.682624979645,228.07,526.0,19.41,0.034,242.374,253.201,20.787,488.0,68054574.0,139436.0,3.1,11255.0,273000000.0,147000000.0,27810700.0,300000000.0,40781638.0,780944.0,38573887.0,41777162.0,3366341.0,8509360.0,631000000.0,951000000.0,160000000.0,91883.0,222412.0,31138.0,29384.0,862.0
2019,深圳,269000000.0,242343.0,105000000.0,164000000.0,0.09,38.98,60.93,203489.0,551.0,228.07,526.0,19.41,0.034,242.374,253.201,20.787,478.0,61109638.0,127757.0,6.7,10337.0,273000000.0,147000000.0,25218868.0,286000000.0,40781638.0,780944.0,37733831.0,45527336.0,5484249.0,7165514.0,560000000.0,796000000.0,160000000.0,91883.0,166609.0,26051.0,29384.0,862.0
2018,深圳,242000000.0,217997.8,99624992.0,142000000.0,0.09,41.13,58.78,189568.0,455.0,228.07,445.0,21.89,0.026,262.828,223.635,12.571,469.0,52364784.0,111709.0,7.6,7950.0,273000000.0,147000000.0,20221437.0,257000000.0,40781638.0,820301.0,35384054.0,42825379.0,5549817.0,5844504.0,483000000.0,687000000.0,135000000.0,91883.0,140202.0,21309.0,29384.0,862.0
2017,深圳,225000000.0,145007.718474285,88404990.26651411,129558986.51470026,0.06678571428571428,40.527957891637215,59.4070039050372,183544.0,435.0,228.07,410.0,25.18,0.05,267.074,196.67,11.071,446.0,44697603.0,100173.0,8.3,7943.0,273000000.0,147000000.0,21013273.0,231000000.0,40781638.0,740126.0,33321303.0,45938003.0,3518252.0,5090971.0,410000000.0,645000000.0,108000000.0,91883.0,94250.0,18926.0,29384.0,862.0
2016,深圳,195000000.0,77970.41,77794971.0,117000000.0,0.04,39.91,60.05,167411.0,385.0,228.07,370.0,21.3,0.048,269.052,187.132,9.918,445.0,39940453.0,89757.0,9.0,6627.0,273000000.0,147000000.0,17699071.0,200000000.0,40781638.0,673227.0,31364923.0,42110429.0,4035240.0,4147269.0,352000000.0,596000000.0,104000000.0,91883.0,94250.0,18926.0,29384.0,862.0
2015,深圳,175000000.0,70011.45,72076791.0,103000000.0,0.04,41.18,58.78,157985.0,354.99,228.07,343.6,20.13,0.069,280.588,179.308,9.601,452.0,36627244.0,81034.0,8.9,6539.0,255000000.0,147000000.0,18314948.0,179000000.0,32983076.0,649733.0,27268543.0,35216708.0,2143182.0,2885520.0,324000000.0,578000000.0,96802400.0,90112.0,94250.0,18926.0,29384.0,862.0
2014,深圳,160000000.0,48005.46,68119751.0,91834449.0,0.03,42.57,57.39,149495.0,332.2,228.07,321.3,17.5,0.067,291.287,167.122,9.259,447.0,32879754.0,73492.38,8.8,6355.0,248000000.0,147000000.0,14961649.0,164000000.0,27174226.0,580469.0,20824400.0,21661400.0,946000.0,3308000.0,227000000.0,325000000.0,99740100.0,87674.0,94250.0,18926.0,29384.0,853.0
2013,深圳,145000000.0,58000.92,62974500.0,81984302.0,0.04,43.43,56.54,467749.0,310.5,228.07,299.1,18.4,0.07,297.59,159.75,9.34,362.0,28135080.0,77749.14,11.97,6520.0,231000000.0,147000000.0,21471822.0,140000000.0,25010091.0,546789.0,17312618.0,16908280.0,1329814.0,2877280.0,198000000.0,298000000.0,92893700.0,82401.0,94250.0,18926.0,29617.0,842.0
2012,深圳,130000000.0,64750.3,57381716.0,72067084.0,0.05,44.31,55.65,123247.0,287.6,228.07,277.8,19.8,0.08,145.82,134.11,8.86,278.0,16421777.0,59009.58,10.0,5835.0,214000000.0,147000000.0,11358280.0,126000000.0,23144319.0,522944.0,14820803.0,15657078.0,791239.0,2462099.0,173000000.0,259000000.0,83890600.0,75570.0,94250.0,18926.0,30359.0,845.0
2011,深圳,115000000.0,69033.18,53431680.0,61554584.0,0.06,46.44,53.5,110421.0,267.9,228.07,259.5,14.5,0.26,139.45,124.0,8.91,261.0,14384948.0,55142.21,10.0,5692.0,204000000.0,147000000.0,13177472.0,119000000.0,21363882.0,459921.0,13395728.0,15905599.0,704863.0,1967928.0,157000000.0,228000000.0,74276400.0,70004.0,94250.0,18926.0,28901.0,847.0
2010,深圳,95815101.0,67070.57,45234309.0,50513721.0,0.07,47.21,52.72,106880.0,259.87,228.07,252.9,12.01,0.27,138.71,114.04,7.66,245.0,12338778.0,50455.03,12.2,8249.0,185000000.0,147000000.0,15990240.0,104000000.0,19447008.0,429724.0,11068166.0,12652699.0,998426.0,1245545.0,137000000.0,202000000.0,67170500.0,67324.0,94250.0,18926.0,26174.0,837.0
2009,深圳,82013176.0,65610.54,38267348.0,43672016.0,0.08,46.66,53.25,92772.0,245.96,228.07,884.0,13.17,0.4,119.7,101.9,7.0,215.0,10029764.0,46715.25,10.7,8413.0,154000000.0,147000000.0,10874205.0,80431621.0,17091514.0,416001.0,8808168.0,10008394.0,791591.0,1366266.0,116000000.0,169000000.0,57237600.0,66952.0,94250.0,18926.0,22367.0,833.0
2008,深圳,78065387.0,70258.85,38158361.0,39844574.0,0.09,48.88,51.04,89814.0,228.07,228.07,789.5625,15.0,0.46,104.46,95.48,6.56,198.0,8674142.0,43731.49,12.1,7013.0,159000000.0,147000000.0,9165787.0,80431621.0,14676043.0,403018.0,8003603.0,8898555.0,546820.0,1030900.0,90584600.0,130000000.0,49059300.0,64675.0,94250.0,18926.0,14894.0,824.0
2007,深圳,68015706.0,68015.71,34048662.0,33899028.0,0.1,50.06,49.84,79645.0,212.38,212.38,695.125,14.3,0.44,104.47,90.17,5.96,189.0,7335805.0,38797.36,14.8,5386.0,138000000.0,131000000.0,8488528.0,80431621.0,13450037.0,366220.0,6580554.0,7279563.0,498998.0,858440.0,79654500.0,115000000.0,37925900.0,58910.0,94250.0,18926.0,13754.0,816.0
2006,深圳,58135624.0,69762.75,30497948.0,27567913.0,0.12,52.46,47.42,69450.0,196.83,196.83,600.6875,12.24,0.46,103.06,82.69,5.52,179.0,6296600.0,35107.89,16.6,5129.0,119000000.0,116000000.0,6744930.0,80431621.0,12736693.0,326900.0,5008827.0,5714231.0,16769.0,575781.0,67553200.0,95404200.0,37447000.0,51220.0,94250.0,18926.0,11311.0,796.0
2005,深圳,49509078.0,99018.16,26333879.0,23076181.0,0.2,53.19,46.61,60801.0,181.93,181.93,506.25,11.92,0.69,89.73,76.26,5.32,159.0,5163684.0,32476.0,15.1,5733.0,95676838.0,92912227.0,5429888.0,80431621.0,11810542.0,296900.0,4123800.0,5991600.0,16300.0,486000.0,61680400.0,84781600.0,32293800.0,45314.0,94250.0,18926.0,9796.0,788.0
2004,深圳,34228000.0,140334.8,21081025.0,13003217.0,0.41,61.59,37.99,59271.0,165.13,164.77,411.8125,11.02,0.7,74.99,61.35,4.7,131.0,4192800.0,31928.11,17.3,2355.0,65092717.0,63334905.0,5429888.0,80431621.0,10925500.0,361226.0,3277129.0,3862873.0,13754.0,419957.0,52427700.0,71007500.0,26253900.0,41251.0,94250.0,18926.0,7954.0,782.0
2003,深圳,28954070.0,165038.2,17236358.0,11552674.0,0.57,59.53,39.9,54545.0,150.93,122.39,317.375,9.43,0.81,57.66,50.7,4.09,105.0,3259900.0,31052.58,19.2,2317.0,52451037.0,51801132.0,5429888.0,80431621.0,9491016.0,362300.0,2908370.0,3489526.0,15274.0,389452.0,45250500.0,60794800.0,21994500.0,32106.0,94250.0,18926.0,6793.0,777.0
2002,深圳,22568300.0,189573.7,12347117.0,10031609.0,0.84,54.71,44.45,46388.0,139.45,112.04,222.9375,14.74,0.69,56.63,45.32,4.09,100.0,2832799.0,28217.94,15.0,2134.0,36285173.0,34347157.0,5429888.0,80431621.0,7998400.0,319100.0,2659300.0,3077800.0,15274.0,354776.0,45250500.0,60794800.0,17565000.0,26778.0,94250.0,18926.0,5803.0,771.0
2001,深圳,19541700.0,181737.8,10564243.0,8795719.0,0.93,54.06,45.01,152099.0,132.04,106.12,128.5,11.99,0.77,51.98,42.93,4.09,94.0,2441713.0,25939.8,14.9,1749.0,30796298.0,29716081.0,5429888.0,80431621.0,6466933.0,259080.0,2656500.0,2600800.0,15274.0,320100.0,45250500.0,60794800.0,16612400.0,18556.0,94250.0,18926.0,5167.0,767.0
2000,深圳,16652406.0,183176.5,8742513.0,7726716.0,1.1,52.5,46.4,139353.4,124.92,100.15,122.74,12.13,0.75,51.61,41.82,4.09,92.0,2113366.0,23039.0,14.8,1834.0,25669281.0,25269548.0,5429888.0,80431621.0,5945958.0,196100.0,2250200.0,2292100.0,15274.0,285424.0,45250500.0,60794800.0,15659800.0,14123.0,94250.0,18926.0,4712.0,765.0
1999,深圳,14365071.0,158015.8,7254361.0,6938329.0,1.1,50.5,48.3,126607.8,119.85,95.05,116.98,9.61,0.93,50.88,41.28,4.09,91.0,1890338.0,20714.0,14.2,1932.0,20368295.0,20323631.0,5429888.0,80431621.0,5446834.0,177839.0,1842100.0,2109000.0,15274.0,250748.0,45250500.0,60794800.0,15659800.0,10568.0,94250.0,18926.0,4274.0,764.0
1998,深圳,12890190.0,167572.5,3867057.0,6277523.0,1.3,30.0,48.7,113862.2,114.6,89.91,111.22,2.06,1.02,51.5,40.01,4.09,91.0,1674771.0,18382.0,14.5,1932.0,20368295.0,17514532.0,5429888.0,80431621.0,4546016.0,166357.0,1643900.0,1767700.0,15274.0,216072.0,45250500.0,60794800.0,15659800.0,8497.0,94250.0,18926.0,4056.0,759.0
1997,深圳,11300057.0,158200.8,5572058.0,5570928.0,1.4,49.31,49.3,101116.6,109.46,84.8,105.46000000000001,10.21,4.62,167.55,99.82,4.09,90.0,1479515.0,16457.0,15.95,1932.0,20368295.0,13643267.0,5429888.0,80431621.0,3743663.0,166112.0,1420600.0,1394200.0,15274.0,181396.0,45250500.0,60794800.0,15659800.0,7601.0,94250.0,18926.0,3859.0,755.0
1996,深圳,9500446.0,161507.6,4683720.0,4655219.0,1.7,49.3,49.0,88371.0,103.38,78.91,99.7,10.92,4.09,164.8,86.36,4.09,90.0,1284558.0,14507.0,16.4,1932.0,20368295.0,11838119.0,5429888.0,80431621.0,1863329.0,242242.0,1317500.0,1380400.0,15274.0,146720.0,45250500.0,60794800.0,15659800.0,6493.0,94250.0,18926.0,3652.0,754.0
1995,深圳,7956950.0,127311.2,4169442.0,3660197.0,1.6,52.4,46.0,75625.4,99.16,74.77,93.94,11.45,4.41,161.63,78.86,4.09,90.0,1076083.0,12276.0,32.9,1932.0,20368295.0,10808061.0,5429888.0,80431621.0,1577041.0,130989.0,880200.0,934000.0,15274.0,112044.0,45250500.0,60794800.0,15659800.0,5291.0,94250.0,18926.0,3542.0,754.0
1994,深圳,5671471.0,137817.0,3154743.0,2378911.0,2.43,55.625,41.945,62879.8,93.97,69.56,88.18,12.0,4.69,153.72,64.7,4.09,90.0,852332.0,10572.22,32.9,1932.0,20368295.0,8179564.0,5429888.0,80431621.0,1574373.0,125046.0,744000.0,746200.0,15274.0,77368.0,45250500.0,60794800.0,15659800.0,4227.0,94250.0,18926.0,2549.0,788.0
1993,深圳,4356029.0,119433.4713465319,2357362.6262763278,1521448.7405506193,3.182394119574333,58.21105737922963,38.639685427891024,50134.2,87.69,64.08,82.42,11.9,5.163160844323635,134.807699508645,52.96740009047466,4.09,90.0,647924.673059388,10572.22,32.9,1932.0,20368295.0,6294678.0,5429888.0,80431621.0,1329285.0,95975.12824046964,672507.0,593327.0,15274.0,42692.0,45250500.0,60794800.0,15659800.0,3680.0,94250.0,18926.0,2052.0,785.0
