年份,地区,地区生产总值(万元),第一产业增加值(万元),第二产业增加值(万元),第三产业增加值(万元),第一产业增加值占GDP比重(%),第二产业增加值占GDP比重(%),第三产业增加值占GDP比重(%),人均地区生产总值(元),户籍人口(万人),非农业人口数(万人),年平均人口(万人),自然增长率(‰),第一产业从业人员数(万人),第二产业从业人员数(万人),第三产业从业人员数(万人),教育业从业人员数(万人),在岗职工平均人数(万人),在岗职工工资总额(万元),职工平均工资(元),地区生产总值增长率(%),规模以上工业企业数(个),规模以上工业总产值(当年价，万元),产品销售收入(万元),利润总额(万元),流动资产合计(万元),固定资产投资总额(万元),当年实际使用外资金额(万美元),地方财政一般预算内收入(万元),地方财政一般预算内支出(万元),科学支出(万元),教育支出(万元),年末金融机构各项贷款余额(万元),年末金融机构存款余额(万元),城乡居民储蓄年末余额(万元),普通高等学校在校学生数(人),专利授权数(件),发明专利授权数(件),货运总量(万吨),人口密度(人／平方公里)
2022,广州,288000000.0,3172290.0,79105377.0,206000000.0,1.1,27.43,71.47,153625.0,1035.0,704.17,941.0,9.59,0.196,105.586,294.436,31.354,404.0,61517485.0,144288.0,1.0,6878.0,196000000.0,114000000.0,15282255.0,159000000.0,57035860.0,714349.0,18550953.0,30224506.0,1982136.0,6269391.0,679000000.0,786000000.0,180000000.0,1057281.0,146854.0,27604.0,95645.0,820.0
2021,广州,282000000.0,3049056.0,77242752.0,202000000.0,1.08,27.36,71.56,150366.0,1012.0,704.17,941.0,9.59,0.196,105.586,294.436,31.354,402.0,57954413.0,144288.0,8.1,6757.0,196000000.0,114000000.0,15194898.0,142000000.0,57035860.0,714349.0,18842570.0,30211834.0,2012478.0,5890857.0,602000000.0,728000000.0,180000000.0,1057281.0,189516.0,24120.0,95645.0,820.0
2020,广州,250000000.0,2877185.0,65900046.0,181000000.0,1.15,26.34,72.51,135047.0,983.0500000000001,704.17,941.0,9.59,0.196,105.586,294.436,31.354,385.0,52083780.0,135138.0,2.7,6208.0,196000000.0,114000000.0,14614011.0,124000000.0,57035860.0,714349.0,17227892.0,29526468.0,2241321.0,5585916.0,535000000.0,656000000.0,180000000.0,1057281.0,155835.0,15077.0,95645.0,820.0
2019,广州,236000000.0,2504674.0,64530799.0,169000000.0,1.06,27.31,71.62,156427.0,954.0,704.17,941.0,9.59,0.196,105.586,294.436,31.354,371.0,45864824.0,123498.0,6.8,5804.0,196000000.0,114000000.0,13330468.0,111000000.0,57035860.0,714349.0,16990383.0,28653263.0,2439456.0,5239743.0,462000000.0,567000000.0,180000000.0,1057281.0,104813.0,12222.0,95645.0,820.0
2018,广州,229000000.0,2240216.0,62337440.0,164000000.0,0.98,27.27,71.75,155491.0,928.0,704.17,913.0,12.8,0.136,105.755,242.754,27.189,331.0,37005944.0,111839.0,6.2,4675.0,196000000.0,114000000.0,13994685.0,99067099.0,57035860.0,661108.0,16342242.0,25061818.0,1636655.0,4408209.0,398000000.0,526000000.0,160000000.0,1057281.0,89826.0,10797.0,95645.0,820.0
2017,广州,215000000.0,2300911.8326278175,59872957.40114253,150468750.0,1.074565217391304,27.98482159237191,70.9224794622853,150678.0,898.0,704.17,884.0,15.59,0.174,107.32,221.676,24.79,316.0,31032760.0,98612.0,7.199999999999999,4664.0,196000000.0,114000000.0,13488898.0,96779199.0,57035860.0,628947.0,15367365.0,21860130.0,1712569.0,4043335.0,333000000.0,493000000.0,146000000.0,1057281.0,60201.0,9345.0,95645.0,820.0
2016,广州,195000000.0,2384788.0,57508574.0,136000000.0,1.22,29.42,69.35,141933.0,870.0,704.17,862.0,10.35,0.144,107.538,217.552,24.154,311.0,25980229.0,89096.0,8.2,4662.0,196000000.0,114000000.0,12316359.0,88188186.0,57035860.0,570120.0,13936442.0,19437465.0,1129546.0,3219820.0,289000000.0,459000000.0,140000000.0,1057281.0,60201.0,9345.0,95645.0,820.0
2015,广州,181000000.0,2262552.0,57269709.0,121000000.0,1.25,31.64,67.11,136188.0,854.19,704.17,848.3,12.02,0.13,112.876,207.307,24.096,306.0,24874876.0,81171.0,8.4,4650.0,187000000.0,114000000.0,10985732.0,80408497.0,54059522.0,541634.0,13494742.0,17277176.0,886688.0,2870733.0,273000000.0,428000000.0,136000000.0,1043221.0,60201.0,9345.0,95645.0,820.0
2014,广州,167000000.0,2188600.0,55917900.0,109000000.0,1.31,33.47,65.23,128478.0,842.4,704.17,837.4,8.0,0.258,120.926,205.215,22.643,310.0,23049712.0,74246.13,7.6,4774.0,182000000.0,114000000.0,10879853.0,74764969.0,48895026.0,510707.0,12431035.0,14362226.0,563212.0,2290438.0,242000000.0,355000000.0,128000000.0,1019291.0,60201.0,9345.0,95645.0,812.0
2013,广州,154000000.0,2282181.0,52274286.0,99644967.0,1.48,33.9,64.62,185338.0,832.3,704.17,827.3,8.5,0.23,129.02,195.34,17.33,258.0,19008976.0,73749.66,13.79,4812.0,172000000.0,114000000.0,11053751.0,74129378.0,44545508.0,480385.0,11418044.0,13861349.0,541912.0,2539473.0,220000000.0,338000000.0,125000000.0,983051.0,60201.0,9345.0,88289.0,802.0
